,Unnamed: 0,text,label,tidy_tweet,tidy_tweet_tokens,tokens_no_stop
0,0,"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR",racism,these girls equivalent irritating asian girls couple years well done,"['these|DET', 'girl|NOUN', 'equivalent|ADJ', 'irritate|VERB', 'asian|ADJ', 'girl|NOUN', 'couple|NOUN', 'year|NOUN', 'well|ADV', 'do|VERB']","['girl|NOUN', 'equivalent|ADJ', 'irritate|VERB', 'asian|ADJ', 'girl|NOUN', 'couple|NOUN', 'year|NOUN', 'well|ADV']"
1,2,"Colin will save them. They're pretty blondes, as they keep telling us. #mkr",sexism,colin will save them they pretty blondes they keep telling,"['will|VERB', 'save|VERB', 'pretty|ADV', 'blonde|NOUN', 'keep|VERB', 'tell|VERB']","['save|VERB', 'pretty|ADV', 'blonde|NOUN', 'keep|VERB', 'tell|VERB']"
2,9,Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off!!!! #mkr,sexism,stop saying dumb blondes with pretty faces need pretty face pull that,"['stop|VERB', 'say|VERB', 'dumb|ADJ', 'blonde|NOUN', 'with|ADP', 'pretty|ADJ', 'face|NOUN', 'need|VERB', 'pretty|ADJ', 'face|NOUN', 'pull|VERB', 'that|DET']","['stop|VERB', 'say|VERB', 'dumb|ADJ', 'blonde|NOUN', 'pretty|ADJ', 'face|NOUN', 'need|VERB', 'pretty|ADJ', 'face|NOUN', 'pull|VERB']"
3,10,Obviously natural blondes!! #mkr,sexism,obviously natural blondes,"['obviously|ADV', 'natural|ADJ', 'blonde|NOUN']","['obviously|ADV', 'natural|ADJ', 'blonde|NOUN']"
4,11,R u fucking kidding - catwalk - all that's missing is a pole #mkr,sexism,fucking kidding catwalk that missing pole,"['fuck|VERB', 'kid|VERB', 'catwalk|ADJ', 'that|SCONJ', 'miss|VERB', 'pole|NOUN']","['fuck|VERB', 'kid|VERB', 'catwalk|ADJ', 'miss|VERB', 'pole|NOUN']"
5,12,I'm done - won't bother with the rest of this pathetic shit show #mkr,none,done bother with rest this pathetic shit show,"['do|VERB', 'bother|NOUN', 'with|ADP', 'rest|NOUN', 'this|DET', 'pathetic|ADJ', 'shit|NOUN', 'show|NOUN']","['bother|NOUN', 'rest|NOUN', 'pathetic|ADJ', 'shit|NOUN', 'show|NOUN']"
6,13,That's just sloppy shit on a plate - deconstructed really - give it up for disaster  #mkr,none,that just sloppy shit plate deconstructed really give disaster,"['that|DET', 'just|ADV', 'sloppy|ADJ', 'shit|NOUN', 'plate|NOUN', 'deconstruct|VERB', 'really|ADV', 'give|VERB', 'disaster|NOUN']","['sloppy|ADJ', 'shit|NOUN', 'plate|NOUN', 'deconstruct|VERB', 'really|ADV', 'give|VERB', 'disaster|NOUN']"
7,16,Fucking rigged - r u kidding they didn't even make a mediocre meal - there was no sass - they just being kept for ratings - I'm over it #mkr,none,fucking rigged kidding they didn even make mediocre meal there sass they just being kept ratings over,"['fuck|VERB', 'rig|VERB', 'kid|VERB', 'even|ADV', 'make|VERB', 'mediocre|ADJ', 'meal|NOUN', 'there|ADV', 'sass|VERB', 'just|ADV', 'be|AUX', 'keep|VERB', 'rating|NOUN', 'over|ADP']","['fuck|VERB', 'rig|VERB', 'kid|VERB', 'even|ADV', 'make|VERB', 'mediocre|ADJ', 'meal|NOUN', 'sass|VERB', 'keep|VERB', 'rating|NOUN']"
8,17,Colin u r kidding - you are so lame - those comments were so made up #mkr,none,colin kidding lame those comments were made,"['kid|VERB', 'lame|ADJ', 'those|DET', 'comment|NOUN', 'be|AUX', 'make|VERB']","['kid|VERB', 'lame|ADJ', 'comment|NOUN', 'make|VERB']"
9,18,Hopefully someone cooks Drasko in the next ep of #MKR,racism,hopefully someone cooks drasko next,"['hopefully|ADV', 'cook|VERB', 'drasko|VERB', 'next|ADV']","['hopefully|ADV', 'cook|VERB', 'drasko|VERB', 'next|ADV']"
10,19,Hopefully someone cooks Drasko in the next ep of #MKR,none,hopefully someone cooks drasko next,"['hopefully|ADV', 'cook|VERB', 'drasko|VERB', 'next|ADV']","['hopefully|ADV', 'cook|VERB', 'drasko|VERB', 'next|ADV']"
11,20,Hopefully someone cooks Drasko in the next ep of #MKR,racism,hopefully someone cooks drasko next,"['hopefully|ADV', 'cook|VERB', 'drasko|VERB', 'next|ADV']","['hopefully|ADV', 'cook|VERB', 'drasko|VERB', 'next|ADV']"
12,21,Hopefully someone cooks Drasko in the next ep of #MKR,none,hopefully someone cooks drasko next,"['hopefully|ADV', 'cook|VERB', 'drasko|VERB', 'next|ADV']","['hopefully|ADV', 'cook|VERB', 'drasko|VERB', 'next|ADV']"
13,22,"RT @finicalgal: Stuffing up instant couscous should be an immediate elimination.
#MKR",none,stuffing instant couscous should immediate elimination,"['stuff|VERB', 'instant|ADJ', 'couscous|ADJ', 'should|VERB', 'immediate|ADJ', 'elimination|NOUN']","['stuff|VERB', 'instant|ADJ', 'couscous|ADJ', 'immediate|ADJ', 'elimination|NOUN']"
14,23,of course you were born in serbia...you're as fucked as A Serbian Film #MKR,racism,course were born serbia fucked serbian film,"['course|NOUN', 'be|AUX', 'bear|VERB', 'fuck|VERB', 'serbian|ADJ', 'film|NOUN']","['course|NOUN', 'bear|VERB', 'fuck|VERB', 'serbian|ADJ', 'film|NOUN']"
