,word,frequency
2506,go,767
2482,get,744
3256,like,729
1336,country,571
4680,retard,533
4844,say,511
4028,people,437
1434,cunt,423
858,call,410
3381,make,394
3847,one,390
4682,retarded,382
5637,think,376
2152,faggot,374
3312,look,352
2402,fuck,332
6121,want,294
4910,see,286
3143,know,282
2518,good,281
2492,girl,276
6171,well,273
5678,time,258
482,back,254
1142,come,238
2051,even,226
4496,really,220
1298,cook,214
2406,fucking,213
5542,take,196
2494,give,189
3709,need,188
3837,oh,182
4723,right,178
3330,love,176
5985,use,172
5363,still,169
6289,year,159
5576,team,158
491,bad,158
5375,stop,157
5589,tell,153
3731,never,153
3394,man,153
3230,let,152
3605,mongoloid,152
317,another,152
5031,show,151
6144,way,148
2844,illegal,145
4768,round,142
2857,immigrant,141
645,bitch,141
409,ass,141
6137,watch,137
2141,face,135
3646,much,134
5636,thing,128
2753,hope,128
2324,food,127
4558,refugee,125
2643,hate,124
5821,try,123
3204,leave,121
5009,shit,121
5549,talk,121
5218,someone,119
6251,word,117
4671,restaurant,117
4406,put,116
3738,next,115
6096,vote,114
3112,keep,113
252,alien,112
2215,feel,111
624,big,110
5713,tonight,109
3409,many,109
26,2,109
2982,instant,108
1883,eat,108
1494,day,107
4271,pretty,106
2055,ever,105
3286,little,105
2056,every,105
5859,u,104
4867,score,102
6245,woman,101
3457,mean,101
3451,may,100
3246,life,100
3167,last,99
5698,today,98
165,actually,97
6253,work,97
5850,two,94
6194,white,94
3288,live,93
4143,please,92
1,1,91
682,blonde,89
6219,win,89
2600,guy,88
3207,leftist,88
4135,play,88
2410,full,87
273,also,87
2557,great,87
5340,start,87
3841,okay,87
2272,first,86
1854,dumb,86
5419,stupid,86
278,always,85
780,bring,85
3662,muslim,85
6109,wait,84
6256,world,84
2736,home,84
6295,yes,83
405,ask,82
5349,stay,82
3308,long,82
4051,person,82
4950,serve,82
3842,old,81
5834,turn,81
5619,thank,80
2624,happen,78
3733,new,78
5482,sure,78
2662,hear,77
5814,trump,77
6288,yeah,76
4491,real,76
3669,n,75
3319,lose,73
43,3,72
1301,cooking,72
5473,support,71
4965,sex,71
592,believe,71
1508,death,69
2627,happy,69
2770,hot,69
5839,tweet,69
2678,help,69
3123,kill,68
5335,stand,67
6115,walk,66
3118,kid,66
4947,seriously,66
570,become,65
2633,hard,65
3746,nigger,65
5563,tart,64
3663,must,64
4441,racist,63
5233,sorry,63
5610,terrorist,63
3452,maybe,63
2339,forget,63
3840,ok,62
2258,find,61
382,around,61
271,already,61
2651,head,61
4783,run,61
746,boy,60
2173,fan,60
766,breakfast,60
4156,point,59
4600,remember,59
3540,mind,59
1987,enough,58
3220,lemon,58
6199,whole,57
3852,open,56
6276,wrong,56
1970,end,56
3080,job,56
1622,dessert,55
1730,dish,55
3748,night,55
3718,negro,54
1772,doctor,54
6161,week,54
4487,read,53
1522,deconstruct,53
5342,state,52
430,attack,52
84,7,52
56,4,52
3675,name,51
2616,hand,51
1009,child,51
5439,suck,51
2442,game,51
5238,sound,50
5646,though,50
3198,learn,50
3604,mongol,50
2369,free,49
765,break,49
3281,literally,49
4779,rule,49
6234,wish,49
3775,nothing,49
5259,speak,49
2381,friend,49
4927,send,48
3585,model,48
906,care,48
3201,least,48
5443,sudden,48
480,baby,47
4009,pay,47
1724,disgrace,47
5837,tv,47
2132,eye,47
2425,funny,46
1658,die,46
473,away,46
3086,joke,46
4117,place,46
1178,competition,46
1504,deal,45
6298,yet,45
4297,probably,44
3244,lie,44
5385,strategic,44
655,black,44
2181,far,43
3324,lot,42
2147,fact,42
263,allow,42
231,agree,42
3565,miss,41
152,act,41
644,bit,41
3477,meet,41
3116,kick,41
2693,high,40
6268,wow,40
2611,half,40
1780,dog,40
3975,part,40
4130,plate,40
2586,guess,40
3984,party,39
3742,nice,39
565,beat,39
2792,human,39
1609,deserve,39
5228,soon,39
1339,couple,38
2170,family,38
1663,different,38
475,awful,37
6051,video,37
4895,season,37
2,10,37
1272,contestant,37
5661,throw,37
3332,low,37
1007,chicken,37
4358,prove,37
5849,twitter,37
3092,judge,37
1341,course,37
5900,understand,37
4489,ready,37
2827,idea,36
3275,listen,36
3175,laugh,36
1369,crazy,36
2853,imagine,36
2242,fight,36
66,5,36
4916,seem,36
4593,religion,36
5041,sick,36
3528,migrant,36
6247,wonder,36
2193,fat,36
1455,cut,35
115,absolutely,35
971,change,35
2321,follow,35
1869,dyke,35
5386,strategically,35
3758,non,35
922,case,35
510,ban,35
2606,hair,34
169,add,34
3602,money,34
4183,poor,34
5702,together,34
4837,sausage,34
4919,self,34
3134,kitchen,34
3538,million,34
230,ago,33
4801,safe,33
1154,comment,33
874,can,33
4899,second,33
5533,table,32
3182,law,32
5416,stuff,32
4660,respect,32
2156,fair,32
5812,true,32
114,absolute,32
3947,pancake,32
4418,question,32
4921,sell,32
4226,power,31
1929,eliminate,31
4472,rather,31
685,bloody,31
899,car,31
3553,minute,31
1500,dead,31
5863,ugly,31
5484,surprise,31
841,buy,31
936,cause,31
4151,pm,31
2717,history,31
1691,dirty,31
3060,issue,31
3642,move,31
2718,hit,30
5017,shoot,30
1475,damn,30
4299,problem,30
2154,fail,30
322,anti,30
1386,crime,30
4798,sad,30
4162,police,30
328,anymore,30
2097,expect,30
312,annoying,30
1361,crap,30
2013,episode,30
1874,early,30
2457,gay,29
2834,idiot,29
3192,leader,29
4879,screen,29
2743,honestly,29
1523,deconstructed,29
6273,write,29
991,cheat,29
3127,kind,28
5036,shut,28
1073,clearly,28
4168,political,28
1800,double,28
5654,three,28
1931,elimination,28
586,behind,28
3362,mad,28
2984,instead,28
2759,horrible,28
2532,government,27
1087,close,27
3228,less,27
2676,hell,27
4461,rape,27
2726,hold,27
5722,top,27
6153,wear,27
1918,election,27
4839,save,27
2389,front,27
3265,line,27
929,catch,27
5359,stick,27
4830,sass,26
1276,continue,26
2254,finally,26
1913,either,26
3613,month,26
806,build,26
1679,dinner,26
3495,menu,26
1054,claim,26
4653,resist,26
3466,meatball,26
4721,rig,26
3375,main,26
3992,past,26
4378,pull,26
2577,group,26
3873,order,26
2060,evil,25
3688,nasty,25
2642,hat,25
2162,fake,25
506,ball,25
4675,result,25
1024,choice,25
4069,phone,25
4209,post,25
5379,story,25
4437,race,25
835,butcher,25
490,bacon,25
5119,slave,25
151,across,25
4498,reason,24
3620,morning,24
1662,difference,24
1373,create,24
825,burn,24
5163,smile,24
4622,report,24
2267,fire,24
3443,mate,24
3239,liberal,24
2262,finish,24
6215,will,24
6180,whatever,24
1826,dress,24
1792,door,23
2416,fun,23
265,almost,23
1424,cry,23
1183,complete,23
4384,punch,23
5735,total,23
164,actual,23
2776,house,23
1907,egg,23
5838,twat,23
4862,school,23
281,amazing,23
125,accept,23
4193,pork,22
4435,r,22
6098,voting,22
1983,enjoy,22
108,able,22
3640,mouth,22
662,blame,22
3337,luck,22
5785,treat,22
1492,daughter,22
1540,definitely,22
1302,cool,22
3736,news,22
3289,liver,22
712,book,21
6090,voice,21
5280,spic,21
2690,hi,21
3493,mention,21
4929,sense,21
5023,short,21
969,chance,21
2510,god,21
1729,disgusting,21
568,beautiful,21
3504,message,21
5737,totally,21
4670,rest,21
3966,parent,21
4711,rid,21
4870,scoring,21
6211,wife,21
4955,set,20
868,camper,20
1828,drink,20
5380,straight,20
2775,hour,20
1848,dude,20
4758,room,20
1849,due,20
3456,meal,20
3986,pass,20
1169,comp,20
135,account,20
3660,music,20
2898,include,20
5169,smug,20
5085,sit,20
3098,jump,20
3792,number,20
4087,pie,20
4494,reality,20
678,block,20
965,challenge,20
1519,decide,20
1840,drug,19
2821,icc,19
5356,step,19
5124,sleep,19
917,carry,19
167,ad,19
4481,raw,19
93,9,19
5617,th,19
3753,nobody,19
2163,fall,19
734,bottom,19
3826,offend,19
2789,huge,19
3818,obviously,19
5061,simple,19
5709,tomorrow,19
4264,president,19
3,100,19
383,arrest,19
6259,worry,19
3475,medium,19
2259,fine,19
4978,shame,19
998,chef,19
2351,forward,19
4473,rating,19
1046,city,19
2859,immigration,19
221,age,18
5057,silly,18
6112,wake,18
6082,visit,18
3490,mental,18
4715,ridiculous,18
5075,single,18
4945,series,18
2331,force,18
4086,picture,18
1651,dick,18
6139,water,18
3689,nation,18
4079,pick,18
5256,spatchcock,18
2192,fast,18
3234,level,18
2813,hurt,18
4308,producer,18
5813,truly,18
5602,term,18
1102,cock,18
5565,taste,18
6302,young,18
2578,grow,17
3774,note,17
2822,ice,17
288,american,17
5097,skill,17
1061,class,17
3492,mentally,17
5224,son,17
329,anyway,17
4088,piece,17
4354,protest,17
673,bless,17
5221,sometimes,17
1383,cricket,17
319,answer,17
687,blow,17
3423,marriage,17
704,bomb,17
3629,mother,17
1017,chinese,17
415,asshole,17
1072,clear,17
266,alone,17
4495,realize,17
1836,drop,17
538,base,17
3902,outside,17
3858,opinion,17
5644,tho,17
2596,gun,17
479,b,17
4449,raise,17
6280,x,17
2203,favourite,17
4898,seat,17
6168,welcome,17
2108,explain,17
4012,peace,17
789,brother,17
5044,side,17
1561,deliver,17
6227,winner,17
2066,exactly,17
